,FIRST,LAST,NICKNAME,HT,WT,REACH,STANCE,W,L,D,BELT
3104,Roldan,Sangcha'an,The Executioner,"5' 4""",125 lbs.,--,Orthodox,4,2,0,
3105,Yuhi,Sano,,"5' 11""",243 lbs.,--,Orthodox,0,4,0,
3106,Martin,Sano,Spartan,"5' 11""",170 lbs.,"75.0""",Orthodox,4,3,1,
3107,Jonathan,Santa Maria,,"5' 9""",125 lbs.,--,,3,4,0,
3108,Duda,Santana,Cowboyzinha,"5' 7""",145 lbs.,"73.0""",Orthodox,3,1,0,
3109,Shaheen,Santana,Shazam,"6' 1""",155 lbs.,"75.0""",Orthodox,6,1,0,
3110,Sean,Santella,Shorty Rock,"5' 5""",125 lbs.,--,,17,6,1,
3111,Jorge,Santiago,The Sandman,"6' 1""",170 lbs.,"75.0""",Orthodox,25,12,0,
3112,Mike,Santiago,,"5' 10""",145 lbs.,"69.0""",Orthodox,19,12,0,
3113,Will,Santiago,The Brown Bomber,"5' 7""",185 lbs.,--,Orthodox,9,5,0,
3114,Richie,Santiago,The Milford Mauler,"5' 7""",135 lbs.,"67.0""",Southpaw,7,2,0,
3115,Jose,Santibanez,,--,155 lbs.,--,,10,3,0,
3116,Art,Santore,Pachuco,"6' 2""",185 lbs.,--,,18,8,0,
3117,Adriano,Santos,,--,--,--,,0,1,0,
3118,Paulo,Santos,,--,--,--,,0,3,0,
3119,Evangelista,Santos,Cyborg,"5' 10""",170 lbs.,"76.0""",Orthodox,21,18,0,
3120,Luis,Santos,,"6' 1""",170 lbs.,--,Southpaw,63,10,1,
3121,Iliarde,Santos,,"5' 5""",125 lbs.,"67.0""",Orthodox,30,13,1,
3122,Leonardo,Santos,,"6' 0""",155 lbs.,"75.0""",Orthodox,18,5,1,
3123,Thiago,Santos,Marreta,"6' 2""",205 lbs.,"76.0""",Orthodox,22,9,0,
3124,Bruno,Santos,Carioca,"5' 9""",185 lbs.,--,Orthodox,15,2,0,
3125,Andre,Santos,Chatuba,"6' 0""",170 lbs.,--,,38,10,0,
3126,Gleristone,Santos,Toninho Furia,"5' 9""",145 lbs.,--,,33,7,0,
3127,Taila,Santos,,"5' 6""",125 lbs.,"68.0""",Orthodox,18,1,0,
3128,Marilia,Santos,Chocolate,"5' 4""",125 lbs.,--,Orthodox,10,3,0,
3129,Edivan,Santos,Pe De Sapo,"6' 4""",248 lbs.,"78.0""",Orthodox,12,3,1,
3130,Daniel,Santos,Willycat,"5' 7""",135 lbs.,--,,8,1,0,
3131,Nick,Sanzo,,"5' 9""",190 lbs.,--,,1,1,0,
3132,Bob,Sapp,The Beast,"6' 5""",350 lbs.,--,Orthodox,11,20,0,
3133,Daniel,Sarafian,,"5' 9""",185 lbs.,"73.0""",Orthodox,10,6,0,
3134,Diego,Saraiva,The Octopus,"5' 6""",155 lbs.,--,Orthodox,22,20,1,
3135,Harris,Sarmiento,The Hitman,"5' 9""",155 lbs.,--,Orthodox,36,26,0,
3136,Alexander,Sarnavskiy,Tiger,"5' 11""",155 lbs.,--,,35,6,0,
3137,Yuki,Sasaki,,"6' 2""",185 lbs.,--,Orthodox,25,22,2,
3138,Kyosuke,Sasaki,,"5' 7""",183 lbs.,--,Southpaw,3,7,4,
3139,Yuta,Sasaki,Ulka,"5' 10""",125 lbs.,"71.0""",Southpaw,21,6,2,
3140,Paul,Sass,,"6' 0""",155 lbs.,"73.0""",Orthodox,14,2,0,
3141,Masaaki,Satake,,"6' 1""",220 lbs.,--,Orthodox,1,8,1,
3142,Takenori,Sato,,"5' 10""",170 lbs.,--,Southpaw,19,11,7,
3143,Takashi,Sato,Ten,"5' 10""",170 lbs.,"73.0""",Southpaw,16,4,0,
3144,Jeimeson,Saudino,The Minion,"5' 6""",135 lbs.,--,,8,5,0,
3145,Tom,Sauer,,"6' 1""",263 lbs.,--,,25,12,0,
3146,Townsend,Saunders,,"5' 5""",170 lbs.,--,Orthodox,0,2,0,
3147,Ben,Saunders,Killa B,"6' 2""",170 lbs.,"77.0""",Orthodox,22,13,2,
3148,Chad W.,Saunders,,"5' 10""",170 lbs.,--,Orthodox,7,2,0,
3149,Chris,Saunders,The So Cal Kid,"5' 8""",155 lbs.,--,,16,8,0,
3150,Lumumba,Sayers,,"6' 0""",185 lbs.,--,,6,5,0,
3151,Matt,Sayles,,"5' 7""",145 lbs.,"68.0""",Orthodox,8,3,0,
3152,Brandon,Sayles,Man of War,"6' 5""",265 lbs.,--,,5,1,0,
3153,Mark,Scanlon,,"5' 9""",170 lbs.,--,Orthodox,9,2,0,
3154,Eric,Schafer,Red,"6' 3""",185 lbs.,"76.0""",Orthodox,14,8,2,
3155,Kerry,Schall,Meat Truck,"6' 2""",265 lbs.,--,Orthodox,24,13,0,
3156,Eric,Schambari,,"5' 11""",185 lbs.,--,Orthodox,15,6,0,
3157,Brendan,Schaub,Big Brown,"6' 4""",245 lbs.,"78.0""",Orthodox,10,5,0,
3158,Matheus,Scheffel,Buffa,"6' 2""",205 lbs.,"75.0""",Orthodox,14,7,0,
3159,Antonio,Schembri,Nino,"5' 9""",205 lbs.,--,Orthodox,5,5,0,
3160,Fabiano,Scherner,Pegaleve,"6' 3""",257 lbs.,--,Orthodox,11,10,0,
3161,Samy,Schiavo,,"5' 8""",155 lbs.,--,Orthodox,10,6,0,
3162,Pat,Schilling,Thrilling,"5' 8""",145 lbs.,--,Orthodox,5,2,0,
3163,Joe,Schilling,,"6' 3""",185 lbs.,--,,2,5,0,
3164,Semmy,Schilt,Hightower,"6' 10""",265 lbs.,--,Orthodox,26,14,1,
3165,Adam,Schindler,,"5' 8""",155 lbs.,--,,10,6,0,
3166,Daniel,Schmitt,,--,185 lbs.,--,,2,3,0,
3167,Colleen,Schneider,,--,135 lbs.,--,,11,7,0,
3168,Matt,Schnell,Danger,"5' 8""",125 lbs.,"70.0""",Orthodox,15,6,0,
3169,Alex,Schoenauer,,"6' 3""",185 lbs.,--,Orthodox,15,10,0,
3170,Darrill,Schoonover,The Boss,"6' 2""",220 lbs.,--,Orthodox,14,8,0,
3171,Bob,Schrijber,Dirty,"6' 0""",240 lbs.,--,Orthodox,20,17,1,
3172,Nate,Schroeder,,"6' 1""",230 lbs.,--,,11,10,0,
3173,Lacey,Schuckman,,"5' 3""",125 lbs.,--,,11,10,0,
3174,Mark,Schultz,,"5' 9""",200 lbs.,--,Orthodox,1,1,0,
3175,Brian,Schwartz,,"6' 3""",170 lbs.,--,Orthodox,1,1,0,
3176,Eric,Schwartz,,--,205 lbs.,--,,2,0,0,
3177,Justin,Scoggins,,"5' 7""",125 lbs.,"66.0""",Southpaw,11,5,0,
3178,Brad,Scott,Bear,"6' 1""",170 lbs.,"76.0""",Orthodox,11,6,0,
3179,Greg,Scott,,"5' 9""",145 lbs.,--,,3,4,0,
3180,Mike,Seal,Crazy Boy,"6' 4""",185 lbs.,--,Orthodox,13,15,1,
3181,Matt,Secor,,"6' 0""",170 lbs.,--,,8,4,0,
3182,Kenneth,Seegrist,,"6' 0""",185 lbs.,--,Orthodox,4,7,0,
3183,Neil,Seery,2Tap,"5' 4""",125 lbs.,"64.0""",Orthodox,16,13,0,
3184,Rony,Sefo,,"5' 9""",225 lbs.,--,Orthodox,0,2,0,
3185,Ray,Sefo,Sugarfoot,"6' 0""",240 lbs.,--,Orthodox,2,2,0,
3186,Brendan,Seguin,,"6' 0""",185 lbs.,--,,23,19,1,
3187,Stefan,Sekulic,,"6' 0""",170 lbs.,"75.0""",Southpaw,12,4,0,
3188,Pete,Sell,Drago,"5' 11""",170 lbs.,"75.0""",Orthodox,10,7,0,
3189,Matthew,Semelsberger,Semi The Jedi,"6' 1""",170 lbs.,"75.0""",Switch,9,3,0,
3190,Andrei,Semenov,,"6' 0""",185 lbs.,--,Orthodox,34,9,2,
3191,Mackens,Semerzier,Da Menace,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0,
3192,Brandon,Sene,,"5' 11""",205 lbs.,--,,2,2,0,
3193,Kim In,Seok,,"5' 6""",145 lbs.,--,Orthodox,3,6,0,
3194,Ray,Seraille,,"6' 3""",246 lbs.,--,,8,9,0,
3195,Ivan,Serati,,"6' 0""",205 lbs.,--,Orthodox,12,4,0,
3196,Alex,Serdyukov,The Russian Crusher,"6' 2""",170 lbs.,"74.0""",Orthodox,8,5,0,
3197,Nicholas,Sergiacomi,,--,170 lbs.,--,,1,1,0,
3198,Matt,Serra,The Terra,"5' 6""",170 lbs.,"68.0""",Orthodox,11,7,0,
3199,Nick,Serra,The Mad Monkey,"5' 9""",170 lbs.,--,Orthodox,7,3,0,
3200,Adrian,Serrano,,"5' 8""",170 lbs.,--,,56,29,4,
3201,Fredy,Serrano,El Profe,"5' 3""",125 lbs.,"65.0""",Orthodox,3,2,0,
3202,Carl,Seumanutafa,,"6' 1""",255 lbs.,--,Orthodox,10,8,0,
3203,Dan,Severn,The Beast,"6' 2""",250 lbs.,--,Southpaw,101,19,1,
3204,Rosi,Sexton,The Surgeon,"5' 3""",135 lbs.,--,Orthodox,13,5,0,
3205,Scott,Shaffer,,"5' 7""",145 lbs.,--,Orthodox,0,1,0,
3206,Edmen,Shahbazyan,The Golden Boy,"6' 2""",185 lbs.,"74.0""",Orthodox,11,2,0,
3207,Leon,Shahbazyan,,"6' 4""",170 lbs.,"74.0""",Orthodox,7,2,0,
3208,Liliya,Shakirova,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,2,0,
3209,Kamal,Shalorus,Prince of Persia,"5' 8""",155 lbs.,"68.0""",Orthodox,9,5,2,
3210,Ken,Shamrock,The World's Most Dangerous Man,"6' 1""",205 lbs.,"72.0""",Orthodox,28,17,2,
3211,Frank,Shamrock,,"5' 10""",185 lbs.,--,Orthodox,23,10,2,
3212,Jason,Sharp,,--,205 lbs.,--,,3,3,0,
3213,Eric,Shelton,Showtime,"5' 6""",125 lbs.,"68.0""",Orthodox,12,6,0,
3214,Sean,Sherk,The Muscle Shark,"5' 6""",155 lbs.,"67.0""",Orthodox,36,4,1,
3215,Chase,Sherman,The Vanilla Gorilla,"6' 4""",250 lbs.,"78.0""",Orthodox,15,8,0,
3216,Valentina,Shevchenko,Bullet,"5' 5""",125 lbs.,"66.0""",Southpaw,22,3,0,
3217,Antonina,Shevchenko,La Pantera,"5' 8""",125 lbs.,"67.0""",Southpaw,9,4,0,
3218,Katsuyori,Shibata,,"6' 0""",168 lbs.,--,Orthodox,4,11,1,
3219,Jake,Shields,,"6' 0""",170 lbs.,"72.0""",Orthodox,31,9,1,
3220,Henrique,Shiguemoto,,"5' 11""",185 lbs.,"72.0""",Orthodox,13,4,1,
3221,Shunichi,Shimizu,,"5' 5""",135 lbs.,--,Orthodox,30,18,11,
3222,Wade,Shipp,The Nightmare,"6' 3""",245 lbs.,--,Orthodox,11,5,0,
3223,Raja,Shippen,,"5' 6""",145 lbs.,--,,18,11,1,
3224,Yuya,Shirai,,"5' 8""",168 lbs.,--,Orthodox,26,14,2,
3225,Wes,Shivers,,"6' 8""",--,--,,7,1,0,
3226,Alexander,Shlemenko,Storm,"5' 11""",185 lbs.,--,,56,9,0,
3227,Josh,Shockley,,"6' 1""",155 lbs.,--,Orthodox,11,4,0,
3228,Josh,Shockman,The War Hammer,"6' 4""",235 lbs.,--,Southpaw,6,3,0,
3229,Akira,Shoji,,"5' 8""",195 lbs.,--,Orthodox,14,17,5,
3230,Liudvik,Sholinian,Palmeyros,"5' 10""",135 lbs.,"71.0""",Orthodox,9,3,1,
3231,Jack,Shore,Tank,"5' 8""",135 lbs.,"71.0""",Orthodox,15,0,0,
3232,Landon,Showalter,The Show,"6' 0""",185 lbs.,--,,11,19,1,
3233,Ivan,Shtyrkov,Ural Hulk,"6' 0""",205 lbs.,"74.0""",Orthodox,15,0,1,
3234,Brandon,Shuey,Big Dawg,"5' 7""",155 lbs.,--,Orthodox,7,6,0,
3235,Sam,Sicilia,,"5' 8""",145 lbs.,"67.0""",Orthodox,15,8,0,
3236,Kiril,Sidelnikov,,"5' 11""",230 lbs.,--,,11,4,0,
3237,Steven,Siler,Super,"5' 11""",145 lbs.,"70.0""",Orthodox,29,16,0,
3238,Siala,Siliga,Mighty Mo,"6' 1""",290 lbs.,--,Orthodox,12,5,0,
3239,Xavier,Siller,Young Guns,"5' 5""",125 lbs.,--,,5,5,0,
3240,Assuerio,Silva,,"5' 10""",241 lbs.,--,Orthodox,16,8,0,
3241,Anderson,Silva,The Spider,"6' 2""",185 lbs.,"77.0""",Southpaw,34,11,0,
3242,Wanderlei,Silva,The Axe Murderer,"5' 11""",205 lbs.,"74.0""",Orthodox,35,13,1,
3243,Thiago,Silva,,"6' 2""",205 lbs.,"74.0""",Orthodox,19,6,0,
3244,Paulo Cesar,Silva,Giant,"7' 5""",385 lbs.,--,Orthodox,2,6,0,
3245,Jean,Silva,White Bear,"5' 6""",160 lbs.,--,Orthodox,19,12,3,
3246,Edson,Silva,Paredao,--,205 lbs.,--,Orthodox,14,12,0,
3247,Sidney,Silva,,"6' 3""",170 lbs.,--,Southpaw,8,4,0,
3248,Jay,Silva,,"6' 2""",185 lbs.,--,Southpaw,10,11,1,
3249,Antonio,Silva,Bigfoot,"6' 4""",264 lbs.,"82.0""",Orthodox,19,12,1,
3250,Fabio,Silva,,"5' 11""",205 lbs.,--,Orthodox,1,8,0,
3251,Erick,Silva,,"6' 0""",170 lbs.,"74.0""",Orthodox,19,9,0,
3252,Leandro,Silva,Buscape,"5' 9""",155 lbs.,"72.0""",Orthodox,20,6,1,
3253,Claudio,Silva,Hannibal,"5' 11""",170 lbs.,"71.0""",Southpaw,14,3,0,
3254,Wagner,Silva,Wagnao,"6' 0""",170 lbs.,--,Orthodox,6,3,0,
3255,Rafael,Silva,Morcego,"5' 7""",135 lbs.,--,,28,6,0,
3256,Joaquim,Silva,Netto BJJ,"5' 8""",155 lbs.,"69.0""",Southpaw,11,4,0,
3257,Felipe,Silva,,"6' 0""",155 lbs.,"77.0""",Orthodox,8,2,0,
3258,Dayana,Silva,,"5' 7""",135 lbs.,--,Orthodox,7,4,0,
3259,Bruno,Silva,Bulldog,"5' 4""",125 lbs.,"65.0""",Orthodox,12,5,2,
3260,Bruno,Silva,Blindado,"6' 0""",185 lbs.,"74.0""",Orthodox,20,6,0,
3261,Gabriel,Silva,,"5' 6""",135 lbs.,"71.0""",Orthodox,8,2,0,
3262,Jacob,Silva,Lil Animal,"5' 5""",125 lbs.,"67.0""",Orthodox,6,4,0,
3263,Natalia,Silva,,"5' 4""",125 lbs.,--,,12,5,1,
3264,Jansey,Silva,Jones,"6' 2""",170 lbs.,--,,7,1,0,
3265,Maria,Silva,Viuva Negra,"5' 3""",115 lbs.,--,Orthodox,6,0,0,
3266,Karine,Silva,Killer,"5' 5""",125 lbs.,--,,13,4,0,
3267,Douglas,Silva de Andrade,D Silva,"5' 7""",145 lbs.,"68.0""",Orthodox,27,4,0,
3268,Leonardo,Silva de Oliveira,Cabecao,"6' 2""",185 lbs.,--,Orthodox,12,4,0,
3269,Marcus,Silveira,Conan,"6' 3""",242 lbs.,--,Orthodox,6,4,0,
3270,Elias,Silverio,Xuxu,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3,0,
3271,Jamey,Simmons,The Afro Samurai,"5' 6""",135 lbs.,"70.0""",Orthodox,7,4,0,
3272,Ricky,Simon,,"5' 6""",135 lbs.,"69.0""",Orthodox,18,3,0,
3273,Aaron,Simpson,A-Train,"6' 0""",170 lbs.,"73.0""",Orthodox,12,5,0,
3274,Wes,Sims,The Project,"6' 10""",260 lbs.,--,Orthodox,24,14,1,
3275,Marlon,Sims,,--,170 lbs.,--,,3,4,0,
3276,Tony,Sims,,"5' 11""",155 lbs.,"70.0""",Southpaw,12,4,0,
3277,Everett,Sims,Sexual Chocolate,"6' 5""",260 lbs.,"77.0""",Southpaw,4,1,0,
3278,Lodune,Sincaid,,"5' 9""",185 lbs.,--,Orthodox,15,9,0,
3279,Rob,Sinclair,,"5' 8""",155 lbs.,--,,13,5,0,
3280,Rory,Singer,Outburst,"6' 2""",185 lbs.,"77.0""",Orthodox,11,9,0,
3281,Elvis,Sinosic,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77.0""",Orthodox,7,11,2,
3282,Mitchell,Sipe,No Dice,"6' 2""",245 lbs.,--,Orthodox,4,1,0,
3283,AJ,Siscoe,Let's Go,"5' 7""",135 lbs.,--,,1,2,0,
3284,Yokthai,Sithoar,,"5' 7""",143 lbs.,--,,0,1,0,
3285,Jeri,Sitzes,,"5' 5""",125 lbs.,--,,3,1,0,
3286,Dennis,Siver,,"5' 6""",145 lbs.,"70.0""",Orthodox,23,11,0,
3287,Chas,Skelly,The Scrapper,"5' 11""",145 lbs.,"72.0""",Orthodox,18,3,0,
3288,Matt,Skelton,,"6' 3""",265 lbs.,--,Orthodox,0,1,0,
3289,Zach,Skinner,,"5' 6""",145 lbs.,--,Orthodox,10,11,0,
3290,Brian,Sleeman,,"5' 8""",185 lbs.,--,,9,9,1,
3291,Joe,Slick,,"6' 0""",199 lbs.,--,Orthodox,16,5,3,
3292,Ray,Sloan,,"6' 1""",205 lbs.,--,,8,1,0,
3293,Kestutis,Smirnovas,,"5' 10""",200 lbs.,--,Orthodox,24,8,2,
3294,Maurice,Smith,,"6' 2""",221 lbs.,--,Orthodox,12,14,0,
3295,Patrick,Smith,,"6' 2""",225 lbs.,--,Orthodox,20,17,0,
3296,Scott,Smith,Hands of Steel,"6' 0""",185 lbs.,"70.0""",Orthodox,18,11,0,
3297,Eric,Smith,,--,--,--,Southpaw,1,1,0,
3298,Josh,Smith,,"6' 0""",155 lbs.,--,Orthodox,9,8,0,
3299,David,Smith,,--,155 lbs.,--,,5,1,0,
3300,Adam,Smith,,--,--,--,,0,3,0,
3301,Dillon,Smith,,"6' 0""",170 lbs.,--,,0,0,0,
3302,Trevor,Smith,Hot Sauce,"6' 3""",185 lbs.,"75.0""",Orthodox,15,10,0,
3303,Anthony,Smith,Lionheart,"6' 4""",205 lbs.,"76.0""",Orthodox,36,16,0,
3304,Colton,Smith,,"6' 0""",155 lbs.,"71.0""",Orthodox,7,4,0,
3305,Gilbert,Smith,,"5' 9""",185 lbs.,--,Southpaw,12,6,0,
3306,Leslie,Smith,The Peacemaker,"5' 9""",135 lbs.,"66.0""",Orthodox,10,7,1,
3307,Devonte,Smith,King Kage,"5' 9""",155 lbs.,"76.0""",Orthodox,11,3,0,
3308,Cole,Smith,The Cole Train,"5' 11""",135 lbs.,"67.0""",Orthodox,7,2,0,
3309,Nate,Smith,The Savage,"5' 6""",125 lbs.,"69.0""",Switch,6,1,0,
3310,Walter,Smith-Cotito,,"5' 8""",135 lbs.,--,,4,5,0,
3311,Justin,Smitley,,--,145 lbs.,--,,10,7,1,
3312,Dmitrii,Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74.0""",Switch,9,3,0,
3313,Louis,Smolka,Da Last Samurai,"5' 9""",135 lbs.,"68.0""",Orthodox,17,7,0,
3314,Shimon,Smotritsky,The Assassin,"6' 2""",170 lbs.,"74.0""",Orthodox,7,1,0,
3315,Richie,Smullen,,"5' 9""",155 lbs.,"68.0""",Orthodox,3,1,1,
3316,Devin,Smyth,,"5' 10""",170 lbs.,"72.0""",Switch,4,2,0,
3317,Denis,Sobolev,,"6' 3""",216 lbs.,--,Orthodox,4,7,0,
3318,Peter,Sobotta,,"6' 0""",170 lbs.,"75.0""",Southpaw,17,7,1,
3319,Renato,Sobral,Babalu,"6' 1""",205 lbs.,"75.0""",Orthodox,37,11,0,
3320,Rameau Thierry,Sokoudjou,The African Assassin,"5' 10""",205 lbs.,"78.0""",Orthodox,18,18,0,
3321,Joe,Solecki,,"5' 9""",155 lbs.,"70.0""",Orthodox,11,3,0,
3322,Chris,Solomon,,"5' 11""",155 lbs.,--,,0,0,0,
3323,Joe,Son,,"5' 4""",236 lbs.,--,Orthodox,0,4,0,
3324,Paul,Song,,--,185 lbs.,--,,2,2,0,
3325,Song,Kenan,The Assassin,"6' 0""",170 lbs.,"71.0""",Orthodox,16,6,0,
3326,Song,Yadong,,"5' 8""",135 lbs.,"67.0""",Orthodox,17,5,1,
3327,Chael,Sonnen,,"6' 1""",205 lbs.,"73.0""",Southpaw,29,15,1,
3328,Cody,Sons,,"5' 9""",205 lbs.,--,,3,7,0,
3329,Jin,Soo Son,,"5' 6""",135 lbs.,"69.0""",Orthodox,9,4,0,
3330,Emiliano,Sordi,He-Man,"6' 2""",205 lbs.,--,Orthodox,16,7,0,
3331,Sean,Soriano,,"5' 9""",155 lbs.,"70.0""",Orthodox,14,7,0,
3332,Punahele,Soriano,Puna,"5' 11""",185 lbs.,"72.0""",Southpaw,8,1,0,
3333,Dmitry,Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,"77.0""",Orthodox,11,0,0,
3334,Ben,Sosoli,Combat Wombat,"6' 0""",265 lbs.,"72.0""",Southpaw,7,3,0,
3335,Krzysztof,Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,1,
3336,George,Sotiropoulos,,"5' 10""",155 lbs.,"71.0""",Orthodox,14,7,0,
3337,Greg,Soto,,"5' 11""",170 lbs.,"73.0""",Orthodox,9,4,0,
3338,Alex,Soto,Extremo,"5' 8""",135 lbs.,--,Southpaw,8,3,1,
3339,Joe,Soto,One Bad Mofo,"5' 6""",135 lbs.,"65.0""",Orthodox,18,7,0,
3340,Mario,Soto,Dr. Mario,"6' 0""",145 lbs.,--,,7,2,0,
3341,Andre,Soukhamthath,The Asian Sensation,"5' 9""",135 lbs.,"70.0""",Orthodox,13,8,0,
3342,Mario,Sousa,Coracao Valente,"6' 3""",185 lbs.,"79.0""",Orthodox,12,2,0,
3343,Bobby,Southworth,,"6' 2""",205 lbs.,--,Orthodox,10,6,0,
3344,Jacare,Souza,,"6' 1""",185 lbs.,"72.0""",Orthodox,26,10,0,
3345,Edimilson,Souza,Kevin,"6' 0""",145 lbs.,"74.0""",Orthodox,15,5,0,
3346,Livinha,Souza,The Brazilian Gangsta,"5' 3""",115 lbs.,"63.0""",Orthodox,14,3,0,
3347,Charon,Spain,,"5' 9""",155 lbs.,--,,14,26,0,
3348,Chris,Spang,The Kiss,"6' 2""",170 lbs.,--,Orthodox,6,3,0,
3349,Andreas,Spang,Sweet Swede,"6' 1""",185 lbs.,--,,9,3,0,
3350,Ryan,Spann,Superman,"6' 5""",205 lbs.,"79.0""",Orthodox,19,7,0,
3351,Ron,Sparks,The Monster,"6' 5""",265 lbs.,--,,8,3,0,
3352,Tommy,Speer,,"5' 10""",170 lbs.,"71.0""",Orthodox,21,7,0,
3353,Patrick,Speight,,"6' 1""",170 lbs.,--,Orthodox,7,3,0,
3354,Sean,Spencer,Black Magic,"5' 10""",170 lbs.,"74.0""",Orthodox,12,6,0,
3355,Felicia,Spencer,FeeNom,"5' 6""",145 lbs.,"68.0""",Orthodox,8,3,0,
3356,Sam,Spengler,The Ram,"5' 11""",185 lbs.,--,Orthodox,9,5,0,
3357,Nick,Sperling,,--,135 lbs.,--,,3,4,0,
3358,Mario,Sperry,Zen Machine,"6' 2""",205 lbs.,--,Orthodox,13,4,0,
3359,Eric,Spicely,Zebrinha,"6' 1""",185 lbs.,"73.0""",Orthodox,12,6,0,
3360,Waachiim,Spiritwolf,Native Warrior,"5' 8""",170 lbs.,--,,12,13,1,
3361,Daniel,Spitz,,"6' 7""",245 lbs.,"82.0""",Orthodox,6,3,0,
3362,Serghei,Spivac,Polar Bear,"6' 3""",260 lbs.,"78.0""",Orthodox,13,3,0,
3363,Daniel,Spohn,Dragon,"6' 4""",205 lbs.,"79.0""",Southpaw,15,6,0,
3364,Pete,Spratt,The Secret Weapon,"5' 9""",170 lbs.,--,Orthodox,25,23,0,
3365,Austin,Springer,,"5' 8""",145 lbs.,"71.0""",Orthodox,12,4,0,
3366,Georges,St-Pierre,Rush,"5' 11""",185 lbs.,"76.0""",Orthodox,26,2,0,
3367,Bobby,Stack,,"5' 9""",155 lbs.,--,Orthodox,8,3,0,
3368,Andreas,Stahl,Real Steel,"5' 11""",170 lbs.,--,Orthodox,10,4,0,
3369,Ron,Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,14,8,0,
3370,Cody,Stamann,The Spartan,"5' 6""",145 lbs.,"64.0""",Orthodox,19,4,1,
3371,Cristina,Stanciu,Barbie,"5' 3""",115 lbs.,--,Orthodox,5,2,0,
3372,Brian,Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0,
3373,Josh,Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",Orthodox,4,8,0,
3374,Dion,Staring,Soldier,"6' 1""",235 lbs.,--,Orthodox,35,14,0,
3375,Lucas,Stark,,--,155 lbs.,--,,1,5,0,
3376,Clifford,Starks,,"6' 0""",185 lbs.,"78.0""",Orthodox,13,3,0,
3377,Kalib,Starnes,,"6' 3""",185 lbs.,"74.0""",Orthodox,17,11,1,
3378,Laureano,Staropoli,Pepi,"6' 1""",185 lbs.,"71.0""",Orthodox,9,4,0,
3379,Damian,Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,6,0,
3380,Adam,Steele,,--,170 lbs.,--,,0,1,0,
3381,Dominique,Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,9,0,
3382,Ricky,Steele,The Karate Kid,"5' 9""",135 lbs.,"74.0""",Orthodox,6,0,0,
3383,Eric,Steenberg,,--,155 lbs.,--,,5,1,0,
3384,Steve,Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,9,4,0,
3385,Ray,Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,--,Orthodox,14,7,0,
3386,Dmitri,Stepanov,,"6' 3""",217 lbs.,--,Orthodox,0,1,0,
3387,Jeremy,Stephens,Lil' Heathen,"5' 9""",145 lbs.,"71.0""",Orthodox,28,19,0,
3388,Aljamain,Sterling,Funk Master,"5' 7""",135 lbs.,"71.0""",Orthodox,20,3,0,
3389,Marc,Stevens,,"5' 9""",155 lbs.,--,,21,10,0,
3390,Joe,Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,33,16,0,
3391,Maia,Stevenson,,"5' 4""",115 lbs.,"62.0""",Orthodox,6,5,0,
3392,Luke,Stewart,,"5' 11""",170 lbs.,--,Orthodox,6,3,0,
3393,Darren,Stewart,The Dentist,"6' 0""",205 lbs.,"74.0""",Orthodox,12,8,0,
3394,Kyle,Stewart,Gunz Up,"6' 0""",170 lbs.,"76.0""",Orthodox,11,3,0,
3395,Alex,Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,--,Southpaw,19,11,1,
3396,Tyler,Stinson,The Evolution,"6' 3""",170 lbs.,--,,30,10,0,
3397,Dan,Stittgen,The Anvil,"6' 1""",170 lbs.,--,Orthodox,12,5,0,
3398,Lazar,Stojadinovic,The Bronx Bomber,"5' 7""",145 lbs.,"68.0""",Southpaw,12,5,0,
3399,Denis,Stojnic,,"6' 0""",245 lbs.,--,Orthodox,13,3,0,
3400,Julija,Stoliarenko,,"5' 7""",135 lbs.,"66.0""",,9,6,1,
3401,Dustin,Stoltzfus,,"6' 0""",185 lbs.,"75.0""",Orthodox,13,3,0,
3402,Niklas,Stolze,Green Mask,"6' 0""",170 lbs.,"75.0""",Switch,12,5,0,
3403,Ken,Stone,,"5' 8""",135 lbs.,"71.0""",Southpaw,11,4,0,
3404,Ryan,Stonitsch,,"5' 9""",170 lbs.,--,Southpaw,8,1,0,
3405,George,Stork,,"5' 10""",185 lbs.,--,,7,9,0,
3406,Rick,Story,The Horror,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,0,
